City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
340,Bowen,AU,86.22,clear sky,-20.0167,148.2333,Bowen
341,Sao Joao Da Barra,BR,76.1,overcast clouds,-21.6403,-41.0511,Sao Joao Da Barra
349,Samarai,PG,85.42,overcast clouds,-10.6167,150.6667,Samarai
350,Luanda,AO,77.0,heavy intensity rain,-8.8368,13.2343,Luanda
354,Huhi,MX,78.94,few clouds,20.7167,-89.1667,Huhi
357,Saint-Leu,RE,76.06,clear sky,-21.15,55.2833,Saint-Leu
361,Salinopolis,BR,81.16,scattered clouds,-0.6136,-47.3561,Salinopolis
368,Marsh Harbour,BS,76.37,clear sky,26.5412,-77.0636,Marsh Harbour
380,Maputo,MZ,78.48,broken clouds,-25.9653,32.5892,Maputo
384,Sidney,AU,78.62,clear sky,-33.8679,151.2073,Sidney
388,Le Port,RE,77.0,few clouds,-20.9373,55.2919,Le Port
389,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,Saint-Joseph
392,Nelson Bay,AU,78.3,few clouds,-32.7167,152.15,Nelson Bay
397,Anito,PH,79.54,light rain,12.4497,125.2886,Anito
399,Edd,ER,78.17,clear sky,13.9297,41.6925,Edd
401,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Belmonte
405,Dondo,MZ,78.31,few clouds,-19.6094,34.7431,Dondo
408,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,Quelimane
410,Tautira,PF,84.22,light rain,-17.7333,-149.15,Tautira
411,Weligama,LK,77.74,overcast clouds,5.9667,80.4167,Weligama
412,Dicabisagan,PH,75.33,overcast clouds,17.0818,122.4157,Dicabisagan
413,Bubaque,GW,80.92,clear sky,11.2833,-15.8333,Bubaque
415,Luganville,VU,81.59,overcast clouds,-15.5333,167.1667,Luganville
418,Siavonga,ZM,77.22,few clouds,-16.5382,28.7088,Siavonga
426,Funadhoo,MV,81.59,overcast clouds,6.15,73.2667,Funadhoo
430,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Makakilo City
439,Kattivakkam,IN,80.08,overcast clouds,13.2167,80.3167,Kattivakkam
441,Waingapu,ID,86.07,scattered clouds,-9.6567,120.2641,Waingapu
